id;code;company;model;datepublished;price;heigth;width;battery;description
1;94020;SMS Account SQL;Vista programming Gloves;24/365 parsing Fish;7155;76337;90122;global;Kids Ports compress
2;98435;optimize Peso;Profound;black TCP PCI;68867;40001;87737;copy;Islands synthesizing
3;38641;neural Dynamic;Savings;Maine withdrawal Directives;94194;88241;31867;wireless;orchid Buckinghamshire
4;58794;Wallis matrix;neural;USB;60232;50964;47562;time-frame sticky Cambridgeshire;Pataca
5;60889;Spurs impactful Light;web;seize;28404;69679;53202;Reverse-engineered;Fork Saint Mississippi
6;77504;index Salad;morph Shirt;Montana policy Sol;81693;8023;5400;orange Soft;mission-critical
7;83690;panel sky;Soft Tasty;system azure Principal;66488;67960;97398;Plastic Account;services deposit Enterprise-wide
8;79801;Kansas Mission;metrics microchip;Tools portals architect;79604;45318;74850;Beauty;Loop Harbors
9;83221;Unbranded;program expedite;Oman;3203;29788;27745;orchestration Mobility;Soft
10;6069;Rubber;Account multi-byte;pink Cotton;17533;13302;46254;Ergonomic Jersey Taka;Money program US
